Département,EPCI/EPT (sigle),Nom complet,Code EPCI,Type,Population,Adresse,Version,Etat,"Mise-à-
jour",Dernier contact,Point d'avancement,Référent technique,Référent élu,AMO,Accompagnement syndicat d'énergie,"Accompagnement
Cytergie",CPER,Délai légal de réalisation,"Restitution du bilan QA
(DL 01/02/2021)",Adoption du PAR,Commentaire et planification,PHASE DE LANCEMENT,Délibération de lancement,PHASE DE CONCERTATION PREALABLE,"Notification
(réception)",Porté à connaissance,PHASE ELABORATION DU DIAGNOSTIC,PHASE DEFINITION DE LA STRATEGIE,PHASE CREATION DU PLAN D'ACTIONS,Projet de plan,"Avis Ae
(réception)","Avis État
ou MGP
(réception)","Avis Ae
(émission)","Avis État
(émission)",PHASE DE CONSULTATION DU PUBLIC,Adoption du plan,Publication territoire et climat,Lien plateforme nationale,Lien site internet collectivité,Projet de territoire,SCoT,PLUi,PLD,PLH,Schéma directeur des réseaux de chaleur,CTE,Autre
91,91-CC2V,CC Deux-Vallées,249100157,CC,18931,"Communauté de communes des Deux-Vallées
23 rue de la Chapelle Saint Blaise
91 490 Milly-la-Forêt",,Non concerné,02/08/18,03/02/17,,"Mme Claire ROTHFUSS
Développement économique
01 82 93 00 15
economie@cc2v91.fr",M. Pascal SIMONNOT (président),non connu,non connu,non connu,,non concerné,non concerné,non concerné,non concerné,,,,,,,,,,,,,,,,,,,,,,,,,,
91,91-CCDH,CC Dourdonnais-en-Hurepoix,249100595,CC,26000,"Communauté de communes du
Dourdonnais-en-Hurepoix
17 rue Pierre Ceccaldi
91410 Dourdan",,Adopté,18/10/21,17/09/19,Dépôt projet PCAET pour 2020/S51 (19/11/20),"M. Thomas DIPPE
01 60 81 12 25 / 07 72 38 68 40
thomas.dippe@ccdourdannais.com","Mme BOUDART
(Vice-présidente au développement durable)",en interne ,non connu,non connu,,01/01/2021,sans information,sans information,,06/02/19 : rencontre CCEJR/DRIEE,31/12/2016,"21/02/19 : nouvelle délibération
mars 2019 : séminaire de lancement avec ALEC",1/3/19,s.o.,"27/03/2019 : COTECH
24/06/2019 : projet de diagnostic
27/06/2019 : Comité des partenaires
04/07/2019 : Adoption diag.","septembre 2019 : projet de stratégie
25/09/2019 : COTECH
14/11/2019 : Atelier déchet","planifié
décembre 19 : atelier et concertation
mai 2020 : projet de plan","planifié
juin 2020",,,,,"planifié
septembre 2020","planifié
fin 2020",,,,"planifié
avril 2019 : délibération",,,,,,,
91,91-CCEJR,CC Entre-Juine-et-Renarde,249100553,CC,27321,"Communauté de communes
Entre-Juine-et-Renardes
Place Charles de Gaulle
91580 Etréchy",,Adopté,09/04/21,16/12/20,Adoption du PCAET reporté 2021/T1 (19/11/20),"Mme Claire BIERME
06 03 81 07 35
dev.durable@ccejr.org
M. Cédric JAGOU
Responsable du développement durable des territoires
cedric.jagou@ccejr.org
06 72 71 51 05
01 83 63 88 25",non connu,AD3e,non connu,non connu,,01/01/2021,sans information,sans information,,11/06/18 : lancement public,14/12/2017,"28/05/18 : déclaration d'intention
04&05/07/18 : ateliers avec le public",22/12/17,18/05/18,réalisé,réalisé,"réalisé
18/09/2019 : COPIL",9/12/19,réalisé,09/12/19,élaboration en cours,07/02/20,"planifié
janvier 2021","planifié
février-mars 2020",,,,,,,,,,,
91,91-CCPL,CC Pays-de-Limours,249100074,CC,27000,"Communauté de communes du Pays-de-Limours
615, rue Fontaine de Ville
91640 Briis-sous-Forges",,Notifié,27/06/19,25/06/19,,"Mme Isabelle LAMOURRE
Directrice générale
i.lamourre@cc-paysdelimours.fr 

M. Gautier BRUNET
Stagiaire service environnement
01 64 90 78 2","M. Bernard VERA (président)
M. Léopold LECOMPAGNON
(vice-président)",Lamy Environnement,non connu,2018,,01/01/2022,sans information,sans information,,23/03/2017 : sensibilisation,23/03/2017,,05/07/18,s.o.,25/06/2019 : Emission diagnostic,"planifié
printemps 2019","planifié
fin 2019","planifié
fin 2019",,,,,,,,,,,"oui
à rechercher",,,,,,
91,91-CCVE,CC Val-d'Essonne,249100546,CC,59000,non connu,,Notifié,30/03/21,11/09/20,Projet d'élaboration d'un SCoT valant PCAET,"M. Morïc LATASTE
01 64 93 21 20
mlataste@ccvalessonne.com

M. Kévin PETIT
01 64 93 76 60",non connu,non connu,non connu,non connu,,01/01/2021,sans information,sans information,,"planifié
2020",,,,,,,,,,,,,,,,,,,"oui
à rechercher",,,,,,
91,91-PNRGF,PNR du Gâtinais-Français,,PNR,82000,"PNR du Gâtinais Français
Maison du Parc
20, Bd du Maréchal Lyautey
91490 Milly-la-Forêt",,Consultation,16/07/18,,,"Mme Lucie GANDON
01 64 98 73 93
l.gandon@parc-gatinais-francais.fr",non connu,non connu,non connu,non connu,,non concerné,non concerné,non concerné,non concerné,réalisé,n.c.,s.o.,de facto,s.o.,réalisé,réalisé,réalisé,21/06/18,s.o.,s.o.,s.o.,s.o.,s.o.,,,,,,,,,,,,
92,92-EPT-02-VSGP,EPT Vallée-Sud-Grand-Paris (T2),200057966,EPT,391000,"EPT Vallée-Sud-Grand-Paris
28, rue de la Redoute
92260 Fontenay-aux-Roses",,Notifié,02/09/20,29/07/19,Un recours de deux associations contre la déclaration d'intention est en cours.,"Mme Suzanne RABAUD
Cheffe de projet développement-durable
01 71 10 71 63 ; 06 43 61 00 77
suzanne.rabaud@valleesud.fr","Mme DELHOMME (EELV)
(vice présidente)",ALTEREA,SIPPEREC,non connu,,01/01/2021,sans information,sans information,,17/09/2019 : Séminaire CDTE,14/11/2017,2019 : 4 ateliers de concertation,de facto,s.o.,réalisé,planifié,planifié ,"planifié
été 2020",,,,,,"planifié
fin 2020",,,,,"planifié
avec MGP","planifié
en cours d'élaboration",,,,,
92,92-EPT-03-GPSO,EPT Grand-Paris-Seine-Ouest (T3),200057974,EPT,310000,"GRAND PARIS
Seine Ouest
9 route de Vaugirard
92196 Meudon Cedex",,Adopté,09/04/21,16/12/20,Adoption du PCAET prévu le 10/02/2021,"Mme Karine TURRO
01 46 29 24 66
karine.turro@seineouest.fr
Anne N’GUYEN KHAC
anne.nguyen-Khac@seineouest.fr
01 46 29 44 24
06 84 98 45 68",Mme Christiane BARODY-WEISS (vice-présidente environnement),ALTEREA,non connu,2017,,01/01/2021,sans information,sans information,,réalisé,29/08/2018,"12/2018-03/2019
5/7/12/2018 : ateliers de concertation",29/08/17,27/10/17,"réalisé
mai 2018","27/09/2018 : COPIL
5-7/12/2018 : 3 ateliers de concertation","18/09/20019 : Atelier PCAET
12-14/2 : 4 ateliers (ACC, QA, ENR, mobilité, rénovation, etc.)",25/09/2019,17/4/20,s.o.,élaboration en cours,s.o.,réalisé : 9/11/2020 - 6/12/2020,"planifié
10/02/2021",,,,,"planifié
avec MGP",,,,,,
92,92-EPT-04-POLD,EPT Paris-Ouest-La-Défense (T4),200057982,EPT,568000,"EPT Paris-Ouest-la-Défense
Immeuble le Luminis
91, rue Jean Jaurès
CS 30050
92806 Puteaux Cedex",1.0,"Adopté
manque Ae",10/06/20,09/06/20,"Problème : l'avis de l'autorité environnementale n'a pas été demandé, une évaluation environnemental doit être réalisé au plus tard lors du bilan à mi-parcours","Jérémie LOB-FERRAGGIOLI
j.lob@pold.fr
01 55 69 31 64",non connu,non connu,non connu,2018,,01/01/2021,sans information,sans information,,réalisé,21/08/2017,,24/08/17,27/10/17,réalisé,réalisé,réalisé,réalisé,,s.o.,,s.o.,"réalisé
15/3 -15/4/2019",25/06/19,,,,,"planifié
avec MGP",,,,,,
92/95,92-EPT-05-BNS,EPT Boucle-Nord-de-Seine (T5),200057990,EPT,434000,non connu,,Consultation,28/02/22,,Est ce que M. BERTOMEU est parti ?,"Noël BERTOMEU
Directeur générale des services
noelbertomeu.eptbns@gmail.com
Anaïs KOT
Directrice du Développement Territorial
anais.kot@bouclenorddeseine.fr
01 70 48 48 68 / 06 48 08 97 61
Alexia ROUSSEL
Chargée d’affaires
alexia.roussel@ville-argenteuil.fr",non connu,non connu,non connu,non connu,,01/01/2021,sans information,sans information,,,27/09/2018,,3/2/20,05/06/20,,,,,,,,,,,,,,,"planifié
avec MGP",,,,,,
93,93-EPT-06-PC,EPT Plaine Commune (T6),200057867,EPT,414000,"Plaine Commune
21, avenue Jules-Rimet
93218 Saint-Denis Cedex",,Adopté,16/12/20,16/12/20,,"Mme Frédérique DEQUIEDT
01 55 93 49 34
Mme Amélie BOISSONNET
01 55 93 57 63
amelie.boissonnet@Plainecommune.com.fr",non connu,non connu,non connu,2018,,01/01/2021,sans information,sans information,,réalisé,n.c.,réalisé,17/07/17,27/10/17,réalisé,réalisé,réalisé,08/10/19,08/10/19,s.o.,09/01/20,s.o.,Du 13/01/2020 au 13/02/2020,25/02/20,,,,,"planifié
avec MGP",,,,,,
93,93-EPT-07-PTE,EPT Paris Terres d'Envol (T7),200058097,EPT,349000,"EPT Terre d'Envol
BP 10018
93601 Aulnay-sous-Bois cedex",1.0,Adopté,14/09/21,19/10/20,L'EPT souhaite postuler à l'AMI CITEC (19/10),"Mme Christelle BARBEROT
06 74 69 75 65
christelle.barberot@paristde.fr
Fabienne LLEDO
Chargée de mission auprès de la direction
01 43 84 65 45/06 84 47 81 27
fabienne.lledo@paristde.fr","Monsieur Madani ARDJOUNE
Vice-Président en charge du PCAET et du développement durable à l’EPT ","ALTEREA
Madame Ani DJINDIAN, chef de projet",non,non,,01/01/2021,sans information,sans information,,"11/06/2018 : conseil des maires des 8 communes, présentation de la démarche et du calendrier",09/07/2018,"10/10/2018-31/01/2019 : enquête en ligne
10/10/2018 : Atelier mobilité durable
11/10/2018 : Atelier bâti durable
11/10/2018 : Atelier consommation responsable
15/10/2018 : Atelier adaptation changement climatique
24/06/2019 : Déclaration d'intention","24/09/18
(pas reçu)",s.o.,juillet-octobre 2018,octobre 2018 - janvier 2019,janvier-avril 2019,"planifié
24/06/2019","planifié
",s.o.,Élaboration en cours,s.o.,,,,,,,"planifié
avec MGP","planifié
prédiagnostic en cours de réalisation,
élaboration lancé mi-2020","planifié
en cours d'élaboration","planifié
en cours d'élaboration","planifié
en cours d'élaboration",,
93,93-EPT-08-EE,EPT Est-Ensemble (T8),,EPT,400000,"Est-Ensemble
100, avenue Gaston Roussel
93232 Romainville Cedex","2.1
mise à jour
(éval. env.)",Adopté,19/11/19,16/10/19,,"M. Nicolas LEROUX
01 79 64 54 90
nicolas.leroux@est-ensemble.fr

M. Quentin NEULAT
chargé de mission énergie climat
Quentin.NEULAT@est-ensemble.fr

Mme Carole JANNETEAU
chargée de mission sensibilisation et communication environnementale
Carole.janneteau@est-ensemble.fr","M. Nicolas LEROUX
01 79 64 54 90
nicolas.leroux@est-ensemble.fr

M. Quentin NEULAT
Chargé de mission énergie-climat
quentin.neulat@est-ensemble.fr",non connu,non connu,2017,,01/01/2021,sans information,sans information,,s.o.,"planifié
26/03/2019",mise à jour du PCAET,de facto,,,,,"planifié
2019/avril","planifié
2019/avril","planifié
2019/juillet",,,"planifié
2019/octobre","planifié
2020/février",,,,,,,,,,,Lauréat de l'AMI ADEME « PLANIF 2 °C »
93,93-EPT-08-EE,EPT Est-Ensemble (T8),200057875,EPT,400000,"Est-Ensemble
100, avenue Gaston Roussel
93232 Romainville Cedex",2.0,"Adopté
(pré-LTECV)",s.o.,s.o.,,"M. Nicolas LEROUX
01 79 64 54 90
nicolas.leroux@est-ensemble.fr","M. Nicolas LEROUX
01 79 64 54 90
nicolas.leroux@est-ensemble.fr

M. Quentin NEULAT
Chargé de mission énergie-climat
quentin.neulat@est-ensemble.fr",non connu,non connu,2017,,01/01/2021,sans information,sans information,,s.o.,n.c.,"205/printemps, 450 personnes, production d'un livre blanc",de facto,s.o.,s.o.,s.o.,s.o.,s.o.,s.o.,s.o.,s.o.,s.o.,s.o.,2017/février,,,,,"planifié
avec MGP","planifié
en cours d'élboration",,,,,
93,93-EPT-09-GPGE,EPT Grand-Paris-Grand-Est (T9),200058790,EPT,386000,non connu,,Consultation,12/01/21,,,non connu,non connu,non connu,non connu,non connu,,01/01/2021,sans information,sans information,,,,,,,,,,,,,,,,,,,,,"planifié
avec MGP",,,,,,"Lauréat AMI ""Santé, Environnement, Aménagement"" (2019) dans le cadre du PCAET"
94,94-EPT-10-PEMB,EPT Paris-Est-Marne-et-Bois (T10),200057941,EPT,503000,"EPT Paris-Est-Marne-Bois
1 place Uranie
94340 Joinville-le-Pont",,Notifié,01/07/20,01/07/20,02/06/2020 : Affichage déclaration intention,"Mme Sandra DESOUSA
01 48 71 52 93
sandra.desousa@pemb.fr","Mme Marie-Hélène MAGNE
(vice-présidente)",non connu,non connu,non connu,,01/01/2021,sans information,sans information,,réalisé,25/09/2017,"13/03/2019 : atelier 'énergie et mobilités'
11/04/2019 : atelier 'résilience et biodiversité'
2019/T3 : séminaire PCAET",10/10/17,18/05/18,2019/T1 : finalisation du diagnostic,2019/T1 : ateliers,"2019/S1
26/11/2019 : Atelier eau, milieux, biodiversité",16/12/20,,s.o.,,s.o.,,,,,,"planifié
28/06/2019 : assise du territoire","planifié
avec MGP",,,,,,
94,94-EPT-11-GPSEA,EPT Grand-Paris-Sud-Est-Avenir (T11),200058006,EPT,305565,"EPT Grand-Paris-Sud-Est-Avenir
14 rue Le Corbusier - Zone Europarc
94046 Créteil Cédex",,Adopté,14/09/21,11/06/20,Le plan d'action du PAT est en cours d'élaboration,"Mme Catherine GELIN-VOLLOT
01 41 94 30 06
cgelin-vollot@gpsea.fr 

Mme Isabelle BENY                                   
Directrice-adjointe du Développement durable
01 41 94 31 84/06 29 60 69 48
ibeny@gpsea.fr
Espace des Buissons
rue du Faubourg Saint-Marceau
94440 Marolles-en-Brie","M. Régis Charbonnier
2ème Vice-Président en charge des déchets, de la production horticole et du Développement durable

M. Yvan FEMEL
Conseiller territorial délégué au Plan Climat Air Energie Territorial","en interne
avec
l’Agence de l’Energie du Val-de-Marne
et le Cluster Eau-Milieux-Sols",aucun,aucun,,01/01/2021,sans information,sans information,,réalisé,14/02/2018,"réalisé
fin 2018 : ateliers",03/04/18,18/05/18,réalisé,"réalisé
cf.
https://www.youtube.com/watch?v=-E86jJHMea8&t=8s
https://www.youtube.com/watch?v=I7kGHRCOE5w","14/06/2018 : Atelier habitat
27/09/2018 : Atelier EnR
13/12/2018 : Atelier eau-milieux-sols-biodiv
13/06/2019 : Forum ouvert PAT
19/06/2019 : Restitution",01/10/2019,,s.o.,,s.o.,,,,,,,"planifié
avec MGP","planifié
étude de préfiguration en cours","planifié
avec plan vélo
19/02/2019 : atelier",,,,"planifié
Plan alimentaire territorial (PAT)"
94/91,94-EPT-12-GOSB,EPT Grand-Orly-Seine-Bièvre (T12),200058014,EPT,679000,"Établissement Public Territorial Grand-Orly-Seine-Bièvre
29, quai de l’industrie
91200 Athis-Mons",,Notifié,20/05/20,19/05/20,Atelier PCAET en ligne jusqu'au 29 mai 2020.,"M. Flavien MAROOTE
01 69 57 81 58
flavien.maroote@grandorlyseinebievre.fr",Mme Stéphanie DAUMIN (vice-présidente),non connu,non connu,2017,,01/01/2021,sans information,sans information,,03/10/17 : lancement,03/10/2017,"automne 2018
mai 2020 : atelier PCAET (en ligne)",de facto,s.o.,20/03/2018 : validation du diagnostic,18/12/2018 : validation des 4 exigences du territoire,"planifié
21/02/2019 : séminaire 'projet de territoire'","planifié
2020/juin",,,,,,,,"oui
à rechercher",,,"planifié
avec MGP",,,,,"planifié
09/07/2019: Lauréat","Lauréat AMI ""Santé, Environnement, Aménagement"" (2019) avec Choisy-le-Roi"
95/78,95-CACP,CA Cergy-Pontoise,249500109,CA,203000,"Communauté d'agglomération de Cergy-Pontoise
Hôtel d'agglomération
Parvis de la Préfecture - BP 80309
95027 Cergy-Pontoise Cedex",,Adopté,19/07/19,12/07/19,,"M. Guillaume QUEVAREC
01 34 41 43 14
guillaume.quevarec@cergypontoise.fr",non connu,non connu,non connu,2017,,01/01/2021,sans information,sans information,,s.o.,n.c.,s.o.,01/01/15,s.o.,réalisé,réalisé,réalisé,13/03/18,30/03/18,28/03/18,28/06/18,tacite,réalisé,2018/décembre,,https://www.territoires-climat.ademe.fr/private/demarche/adoption-dun-pceat-agenda-21/ma-demarche,,,,,,,,,
95,95-CAPV,CA Plaine-Vallée,200056380,CA,182000,"Communauté d'agglomération Plaine-Vallée
1, rue de l’Egalité CS 10042
95233 Soisy-sous-Montmorency Cedex",,Notifié,24/04/21,02/11/20,L'AMO a du être désigné mi-novembre 2020 (15/12/20),"M. P. GIROT
Directeur général des services
PGIROT@agglo-plainevallee.fr
M. Quentin REVERT
Chargé de mission PCAET
qrevert@agglo-plainevallee.fr
",non connu,non connu,non connu,2018,,01/01/2021,sans information,sans information,,,,,,,,,,,,,,,,,,,,,,,,,,,
95/77,95-CARPF,CA Roissy-Pays-de-France,200055655,CA,346000,"Communauté d’agglomération Roissy Pays de France
6bis avenue Charles de Gaulle
95700 Roissy-en-France",1,Adopté,09/12/21,25/02/20,"Le projet de PCAET est en phase de consultation.

L'avis de l'État a été signé le 5 mai. L'avis de la MRAe est en cours d'élaboration.","M. Roger LEVECQUE
Directeur du développement durable
01 34 04 37 12 & 06 11 74 03 33
rlevecque@roissypaysdefrance.fr
Mme Camille STARICO
Responsable du service développement durable
01 34 04 33 05 & 06 84 78 83 75
cstarico@roissypaysdefrance.fr
Camille THIAUDIERE
Chargée de mission PCAET et PTRE
01-34-04-33-05
07-78-39-75-93
cthiaudiere@roissypaysdefrance.fr","M. Hervé TOUGUET
(vice-président délégué au DD)","BL-evolution
& ETIK-presse",non connu,demandé,,01/01/2021,sans information,sans information,,"septembre 2017 : délibération engagement
24/01/2018 : désignation AMO
27/05/2019 : réunion publique de lancement",28/09/2017,"10/09/2019 : atelier mobilités
12/09/2019 : atelier habitat, logement et nouvelles énergies
19/09/2019 : atelier developpement et consommation responsable
19/09/2019 : atelier agriculture, séquestration carbone, biodiversité
25/09/2019 : atelier épanouissement et solidarités
03/10/2019 : atelier sensibilisation au DD, consommation responsable
14/10/2019 : déclaration d'intention",de facto,s.o.,réalisé,réalisé,réalisé,19/12/19,,25/02/20,Élaboration en cours,5/5/20,,,,,,,,,,,,,
95,95-CAVP,CA Val-Parisis,200058485,CA,266000,"Communauté d'agglomération
Val-Parisis
271 chaussée Jules César
95250 Beauchamp",,Notifié,13/12/19,12/12/19,,"Mme Murielle VANNIER
01 30 26 39 70
mvannier@valparisis.fr",non connu,non connu,non connu,non connu,,01/01/2021,sans information,sans information,,,n.c.,01/07-30/08/2019 : Consultation publique,08/03/19,s.o.,réalisé,"réalisé
2019/S2","planifié
en cours",,,,,,,,,,,,,,,,,,
95,95-CCCPF,CC Carnelle-Pays-de-France,200073013,CC,31500,"Communauté de communes Carnelle-Pays-de-France
15, rue Bonnet
95270 LUZARCHES",,Adopté,09/12/21,05/11/20,Dépot du projet de PCAET le 5/11/20 pour avis,"M. Christophe ARMAGNAGUE
Directeur général des services
01 34 71 01 01 / 06 10 51 50 34
c.armagnague@c3pf.fr 
Mme Valérie DA CRUZ
01 34 71 01 00 / 06 77 74 39 15
v.dacruz@c3pf.fr",M. Patrice ROBIN (président),INDDIGO,SIGEIF,non connu,,01/01/2022,sans information,sans information,,"28/05/2018 : délibération
02/07/2018 : notification",28/05/2018,"28/05/18 : délibération déclaration d’intention
planifié en coordination CC3P/CCVO3F
19/11/2019 : Atelier mobilité
19/11/2019 : Atelier exemplarité
03/12/2019 : Atelier résidentiel et habitat
03/12/2019 : Atelier urbanisme et aménagement
13/12/2019 : Atelier EnR
13/12/2019 : Atelier ruralité",02/07/18,s.o.,"18/09/2018 : COPIL
17/04/2019 : Présentation du diagnostic","réalisé
",17/01/2020 : COPIL,5/11/20,,05/11/20,,Élaboration en cours,,,,,,,,,,,,,
95,95-CCHVO,CC Haut-Val-d'Oise,249500489,CC,38000,"Communauté de communes
du Haut-Val-d'Oise
16, rue Nationale
CS 10600
95260 Beaumont-sur-Oise",,Notifié,18/06/20,10/03/20,,"M. Antoine BLANCHARD
Chef de projet ACV
01 39 37 89 83
acv@cchvo.com",non connu,non connu,non,non,demandé,01/01/2021,sans information,sans information,,,09/12/2019,8/1/2020 : Déclaration d'intention,07/02/20,5/6/20,,,,,,,,,,,,,,,,,,Élaboration en cours prévu pour 2020/T3,,,
95,95-CCSI,CC Sausseron-Impressionistes,249500430,CC,19261,non connu,,Non concerné,,,,non connu,non connu,non connu,non connu,non connu,,non concerné,non concerné,non concerné,non concerné,,,,,,,,,,,,,,,,,,,,,,,,,,
95,95-CCVC,CC Vexin-Centre,200035970,CC,24000,non connu,,Sans information,,,,non connu,non connu,non connu,non connu,non connu,,01/01/2022,sans information,sans information,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,95-CCVO3F,CC Vallée-de-l'Oise-et-des-Trois-Forêts,249500455,CC,38000,"Communauté de communes de la Vallée-de-l’Oise-et-des-Trois-Forêts
1, avenue Jules Dupré
95290 L’Isle-Adam",,Adopté,09/12/21,19/10/20,Avis de l'État en cours d'élaboration,"Mme GUILLAUME
Directrice des services
01 34 69 75 09
i.guillaume@ccvo3f.fr",Roland GUICHARD (président),non connu,SIGEIF,non connu,,01/01/2021,sans information,sans information,,"planifié
septembre 2018",15/06/2018,"Réalisé planifié en coordination CC3P/CCVO3F
19/11/2019 : Atelier mobilité
19/11/2019 : Atelier exemplarité
03/12/2019 : Atelier résidentiel et habitat
03/12/2019 : Atelier urbanisme et aménagement
13/12/2019 : Atelier EnR
13/12/2019 : Atelier ruralité",25/06/18,s.o.,"réalisé
23/03/2019 : réunion publique présentation diagnostic
29/05/2019 : Rapport du diagnostic final",réalisé,en cours,19/10/20,,19/10/20,,Élaboration en cours,,,,,,,,,,,,,
95,95-CCVVS,CC Vexin-Val-de-Seine,249500513,CC,16694,non connu,,Non concerné,,,,non connu,non connu,non connu,non connu,non connu,,non concerné,non concerné,non concerné,non concerné,,,,,,,,,,,,,,,,,,,,,,,,,,
IDF,IDF-MGP,Métropole du Grand Paris,200054781,Métropole,7000000,"Métropole du Grand Paris
15-19, avenue Pierre Mendès-France - CS 81411
75646 Paris Cedex 13",,Adopté,18/09/20,17/09/20,Arrivé de M. Doublet comme correspondant PCAET le 15/7/20,"M. Florent DOUBLET
florent.doublet@metropolegrandparis.fr
Maria SPENDEL
maria.spendel@metropolegrandparis.fr 
",non connu,non connu,non connu,non connu,,01/01/2021,sans information,sans information,,réalisé,25/11/2016,réalisé,26/12/16,15/02/17,réalisé,réalisé,réalisé,08/02/17,23/02/18,,17/05/18,tacite,2018,2018/décembre,,,,,"planifié
avec EPT",,,,,,
